contract_item_id,contract_item_type,source_file,symbol,line_range,test_file,test_name,audit_output,current_implementation_status
stage.pig_strenet_evidence,stage,scripts/classification_v2/run_lineage_stage.py,_publication_recovery_errors,467-516,tests/test_classification_v2_pig_strenet_artifacts.py,,pig_strenet_artifact_audit.json,IMPLEMENTED_AND_TESTED
stage.pig_strenet_evidence,stage,src/pig_behavior/classification_v2/datasets/pig_strenet_media.py,FrameMediaResolver,74-489,tests/test_classification_v2_pig_strenet_artifacts.py,,pig_strenet_artifact_audit.json,IMPLEMENTED_AND_TESTED
stage.pig_strenet_evidence,stage,src/pig_behavior/classification_v2/datasets/pig_strenet_publication.py,recover_media_manifest,60-95,tests/test_classification_v2_pig_strenet_artifacts.py,,pig_strenet_artifact_audit.json,IMPLEMENTED_AND_TESTED
stage.pig_strenet_evidence,stage,src/pig_behavior/classification_v2/contracts/pig_strenet_artifact_run.py,audit_pig_strenet_artifact_run,28-118,tests/test_classification_v2_pig_strenet_artifacts.py,,pig_strenet_artifact_audit.json,IMPLEMENTED_AND_TESTED
stage.pig_strenet_evidence,stage,src/pig_behavior/classification_v2/contracts/candidate_manifest.py,build_candidate_artifact_manifest,1768-2108,tests/test_classification_v2_pig_strenet_artifacts.py,,pig_strenet_artifact_audit.json,IMPLEMENTED_AND_TESTED
stage.behavior_review_unit_construction,stage,src/pig_behavior/classification_v2/review/review_unit_builder.py,build_review_units,71-465,tests/test_classification_v2_behavior_review_semantics.py,,review_unit_audit.json,IMPLEMENTED_AND_TESTED
stage.behavior_review_unit_construction,stage,src/pig_behavior/classification_v2/review/behavior_review_selection.py,assign_behavior_review_cohorts,132-298,tests/test_classification_v2_behavior_review_semantics.py,,review_unit_audit.json,IMPLEMENTED_AND_TESTED
stage.behavior_review_unit_construction,stage,src/pig_behavior/classification_v2/review/behavior_threshold_registry.py,canonical_threshold_registry,165-482,tests/test_classification_v2_behavior_review_semantics.py,,review_unit_audit.json,IMPLEMENTED_AND_TESTED
stage.behavior_review_unit_construction,stage,src/pig_behavior/classification_v2/review/behavior_threshold_audit.py,independent_threshold_candidate_audit,51-197,tests/test_classification_v2_behavior_review_semantics.py,,review_unit_audit.json,IMPLEMENTED_AND_TESTED
stage.behavior_review_unit_construction,stage,src/pig_behavior/classification_v2/contracts/candidate_manifest.py,build_candidate_artifact_manifest,1768-2108,tests/test_classification_v2_behavior_review_semantics.py,,review_unit_audit.json,IMPLEMENTED_AND_TESTED
stage.behavior_gui,stage,scripts/classification_v2/01_review_units_gui/review_temporal_unit_gui.py,main,1747-1790,tests/test_classification_v2_review_unit_window_contract.py,,behavior_decision_coverage.json,IMPLEMENTED_PARTIALLY_TESTED
stage.behavior_decision_apply,stage,scripts/classification_v2/01_review_units_gui/classification_v2_apply_review_unit_decisions.py,apply_decisions_to_frames,230-521,tests/test_classification_v2_behavior_review_semantics.py,,behavior_apply_audit.json,IMPLEMENTED_AND_TESTED
stage.behavior_decision_apply,stage,src/pig_behavior/classification_v2/contracts/candidate_manifest.py,build_candidate_artifact_manifest,1768-2108,tests/test_classification_v2_behavior_review_semantics.py,,behavior_apply_audit.json,IMPLEMENTED_AND_TESTED
stage.train_ready_export,stage,src/pig_behavior/classification_v2/train_ready_features.py,build_train_ready_window_tables,182-232,tests/test_classification_v2_pre_review_science.py,,train_ready_feature_audit.json,IMPLEMENTED_AND_TESTED
stage.train_ready_export,stage,src/pig_behavior/classification_v2/contracts/candidate_manifest.py,build_candidate_artifact_manifest,1768-2108,tests/test_classification_v2_pre_review_science.py,,train_ready_feature_audit.json,IMPLEMENTED_AND_TESTED
stage.tensor_export,stage,src/pig_behavior/classification_v2/features/spatial_schema.py,canonical_spatial_schema_payload,151-175,tests/test_classification_v2_spatial_sequence_export.py,,spatial_sequence_audit.json,IMPLEMENTED_AND_TESTED
stage.tensor_export,stage,src/pig_behavior/classification_v2/spatial_sequence_export.py,export_spatial_sequences,156-175,tests/test_classification_v2_spatial_sequence_export.py,,spatial_sequence_audit.json,IMPLEMENTED_AND_TESTED
stage.tensor_export,stage,src/pig_behavior/classification_v2/contracts/candidate_manifest.py,build_candidate_artifact_manifest,1768-2108,tests/test_classification_v2_spatial_sequence_export.py,,spatial_sequence_audit.json,IMPLEMENTED_AND_TESTED
stage.model_input,stage,src/pig_behavior/classification_v2/contracts/model_input_manifest.py,build_model_input_manifest,172-275,tests/test_classification_v2_model_input_manifest.py,,model_input_contract.json,IMPLEMENTED_PARTIALLY_TESTED
stage.model_input,stage,src/pig_behavior/classification_v2/contracts/candidate_manifest.py,build_candidate_artifact_manifest,1768-2108,tests/test_classification_v2_model_input_manifest.py,,model_input_contract.json,IMPLEMENTED_PARTIALLY_TESTED
stage.model_execution,stage,src/pig_behavior/classification_v2/contracts/model_io.py,validate_model_input_columns,75-86,tests/test_classification_v2_model_factory.py,,checkpoint_manifest.json,IMPLEMENTED_PARTIALLY_TESTED
feature.bbox_width_px,feature,src/pig_behavior/classification_v2/features/geometry.py,build_geometry_features,46-189,tests/test_classification_v2_pre_review_science.py,,,IMPLEMENTED_PARTIALLY_TESTED
feature.bbox_height_px,feature,src/pig_behavior/classification_v2/features/geometry.py,build_geometry_features,46-189,,,,IMPLEMENTED_PARTIALLY_TESTED
feature.bbox_center_x_n,feature,src/pig_behavior/classification_v2/features/geometry.py,build_geometry_features,46-189,tests/test_classification_v2_pre_review_science.py,,,IMPLEMENTED_AND_TESTED
feature.bbox_center_y_n,feature,src/pig_behavior/classification_v2/features/geometry.py,build_geometry_features,46-189,tests/test_classification_v2_pre_review_science.py,,,IMPLEMENTED_AND_TESTED
feature.bbox_width_n,feature,src/pig_behavior/classification_v2/features/geometry.py,build_geometry_features,46-189,tests/test_classification_v2_pre_review_science.py,,,IMPLEMENTED_AND_TESTED
feature.bbox_height_n,feature,src/pig_behavior/classification_v2/features/geometry.py,build_geometry_features,46-189,tests/test_classification_v2_pre_review_science.py,,,IMPLEMENTED_AND_TESTED
feature.bbox_area_n,feature,src/pig_behavior/classification_v2/features/geometry.py,build_geometry_features,46-189,tests/test_classification_v2_pre_review_science.py,,,IMPLEMENTED_AND_TESTED
feature.bbox_aspect_ratio,feature,src/pig_behavior/classification_v2/features/geometry.py,build_geometry_features,46-189,tests/test_classification_v2_pre_review_science.py,,,IMPLEMENTED_AND_TESTED
feature.geometry_valid,feature,src/pig_behavior/classification_v2/features/geometry.py,build_geometry_features,46-189,tests/test_classification_v2_motion_time_contracts.py,test_invalid_geometry_is_zeroed_and_quality_masked,,IMPLEMENTED_AND_TESTED
feature.image_boundary_metric,feature,src/pig_behavior/classification_v2/features/geometry.py,build_geometry_features,46-189,,,,IMPLEMENTED_NOT_TESTED
feature.timestamp_sec,feature,src/pig_behavior/classification_v2/sources/temporal_provenance.py,apply_source_frame_clock,13-79,tests/test_classification_v2_motion_time_contracts.py,test_same_fps_legacy_and_cvat_t6_have_same_physical_clock,,IMPLEMENTED_AND_TESTED
feature.delta_t_sec,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_motion_time_contracts.py,test_gap_pair_is_sparse_velocity_not_contiguous_path,,IMPLEMENTED_AND_TESTED
feature.previous_observation_available,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase1_pair_contract.py,test_first_frame_of_unit_has_no_previous_pair,,IMPLEMENTED_AND_TESTED
feature.valid_motion_pair,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase1_pair_contract.py,test_missing_pair_is_distinct_from_stationary_zero,,IMPLEMENTED_AND_TESTED
feature.vx_n_per_second,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_constant_horizontal_velocity_and_midpoint_time,,IMPLEMENTED_AND_TESTED
feature.vy_n_per_second,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_constant_diagonal_velocity,,IMPLEMENTED_AND_TESTED
feature.bbox_width_rate_per_second,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_bbox_rates_use_pair_delta_time,,IMPLEMENTED_AND_TESTED
feature.bbox_height_rate_per_second,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_bbox_rates_use_pair_delta_time,,IMPLEMENTED_AND_TESTED
feature.bbox_area_rate_per_second,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_bbox_rates_use_pair_delta_time,,IMPLEMENTED_AND_TESTED
feature.bbox_aspect_ratio_rate_per_second,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_bbox_rates_use_pair_delta_time,,IMPLEMENTED_AND_TESTED
feature.speed_n_per_second,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_motion_time_contracts.py,test_physical_speed_is_fps_invariant,,IMPLEMENTED_AND_TESTED
feature.direction_rad,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_zero_speed_direction_is_unavailable_not_angle_zero,,IMPLEMENTED_AND_TESTED
feature.direction_change_rad,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_direction_wrap_uses_signed_shortest_angle,,IMPLEMENTED_AND_TESTED
feature.tangential_acceleration_n_per_second2,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_speed_change_fixed_direction_separates_accelerations,,IMPLEMENTED_AND_TESTED
feature.ax_n_per_second2,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_constant_speed_changing_direction_has_vector_acceleration,,IMPLEMENTED_AND_TESTED
feature.trajectory_length_n_unit,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,,,,IMPLEMENTED_PARTIALLY_TESTED
feature.motion_active_ratio_unit,feature,src/pig_behavior/classification_v2/features/temporal_evidence.py,_motion_summary,375-577,tests/test_classification_v2_phase1_pair_contract.py,test_motion_active_ratio_uses_valid_pair_denominator,,IMPLEMENTED_AND_TESTED
feature.motion_burstiness_unit,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase1_pair_contract.py,test_motion_burstiness_uses_valid_pair_denominator,,IMPLEMENTED_AND_TESTED
feature.valid_pair_count,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase1_pair_contract.py,test_pair_coverage_counts_are_consistent,,IMPLEMENTED_AND_TESTED
feature.possible_pair_count,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase1_pair_contract.py,test_pair_coverage_counts_are_consistent,,IMPLEMENTED_AND_TESTED
feature.valid_pair_ratio,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase1_pair_contract.py,test_exactly_one_valid_pair_uses_complete_support,,IMPLEMENTED_AND_TESTED
feature.observed_frame_count,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase1_pair_contract.py,test_pair_coverage_counts_are_consistent,,IMPLEMENTED_AND_TESTED
feature.motion_feature_coverage,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase1_pair_contract.py,test_all_pairs_invalid_have_placeholder_and_unavailable_mask,,IMPLEMENTED_AND_TESTED
feature.pair_distance_axis_n,feature,src/pig_behavior/classification_v2/features/social.py,build_static_social_context_features,79-349,tests/test_classification_v2_phase3_spatial_semantics.py,test_axis_normalized_metric_formula_non_square,,IMPLEMENTED_AND_TESTED
feature.pair_distance_diagonal_n,feature,src/pig_behavior/classification_v2/features/social.py,build_static_social_context_features,79-349,tests/test_classification_v2_phase3_spatial_semantics.py,test_diagonal_metric_is_isotropic_in_pixel_space,,IMPLEMENTED_AND_TESTED
feature.nearest_stable_partner_key,feature,src/pig_behavior/classification_v2/features/social.py,build_static_social_context_features,79-349,tests/test_classification_v2_phase3_spatial_semantics.py,test_blank_pig_id_does_not_remove_stable_identity,,IMPLEMENTED_AND_TESTED
feature.nearest_stable_partner_key,feature,src/pig_behavior/classification_v2/features/spatial_semantics.py,canonical_social_identity,213-232,tests/test_classification_v2_phase3_spatial_semantics.py,test_blank_pig_id_does_not_remove_stable_identity,,IMPLEMENTED_AND_TESTED
feature.nearest_pig_metadata,feature,src/pig_behavior/classification_v2/features/social.py,build_static_social_context_features,79-349,,,,REVIEW_ONLY
feature.social_tie_break_policy,feature,src/pig_behavior/classification_v2/features/social.py,build_static_social_context_features,79-349,tests/test_classification_v2_phase3_spatial_semantics.py,test_equal_distance_selection_is_row_order_invariant,,IMPLEMENTED_AND_TESTED
feature.social_tie_break_policy,feature,src/pig_behavior/classification_v2/features/spatial_semantics.py,SOCIAL_TIE_BREAK_RULE,41-43,tests/test_classification_v2_phase3_spatial_semantics.py,test_equal_distance_selection_is_row_order_invariant,,IMPLEMENTED_AND_TESTED
feature.partner_continuity,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_social_context_columns,1418-1582,tests/test_classification_v2_phase3_spatial_semantics.py,test_partner_continuity_uses_stable_key,,IMPLEMENTED_AND_TESTED
feature.relative_partner_motion,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_social_context_columns,1418-1582,tests/test_classification_v2_phase3_spatial_semantics.py,test_partner_switch_is_measured_only_when_both_neighbors_exist,,IMPLEMENTED_AND_TESTED
feature.neighbor_availability,feature,src/pig_behavior/classification_v2/features/social.py,build_static_social_context_features,79-349,tests/test_classification_v2_phase3_spatial_semantics.py,test_no_valid_neighbor_is_not_zero_distance,,IMPLEMENTED_AND_TESTED
feature.neighbor_availability,feature,src/pig_behavior/classification_v2/spatial_sequence_export.py,export_spatial_sequences,156-175,tests/test_classification_v2_phase3_spatial_semantics.py,test_no_valid_neighbor_is_not_zero_distance,,IMPLEMENTED_AND_TESTED
feature.roi_availability,feature,src/pig_behavior/classification_v2/features/roi.py,build_roi_features,147-444,,,,MODEL_FORBIDDEN
feature.roi_overlap,feature,src/pig_behavior/classification_v2/features/roi.py,build_roi_features,147-444,,,,IMPLEMENTED_PARTIALLY_TESTED
feature.roi_distance_diagonal_n,feature,src/pig_behavior/classification_v2/features/roi.py,build_roi_features,147-444,,,,IMPLEMENTED_PARTIALLY_TESTED
feature.roi_contact,feature,src/pig_behavior/classification_v2/features/roi.py,build_roi_features,147-444,,,,IMPLEMENTED_PARTIALLY_TESTED
feature.target_roi_contact_ratio_unit,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase3_spatial_semantics.py,test_roi_partial_availability_uses_available_denominator,,IMPLEMENTED_AND_TESTED
feature.target_roi_available_frame_count,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase3_spatial_semantics.py,test_roi_partial_availability_uses_available_denominator,,IMPLEMENTED_AND_TESTED
feature.target_roi_availability_ratio_unit,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase3_spatial_semantics.py,test_roi_partial_availability_uses_available_denominator,,IMPLEMENTED_AND_TESTED
feature.target_roi_contact_available,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase3_spatial_semantics.py,test_zero_roi_availability_is_unavailable_not_measured_no_contact,,IMPLEMENTED_AND_TESTED
feature.observed_mask,feature,src/pig_behavior/classification_v2/spatial_sequence_export.py,export_spatial_sequences,156-175,tests/test_classification_v2_temporal_views.py,test_missing_frame_is_masked_without_losing_expected_slot,,IMPLEMENTED_AND_TESTED
feature.spatial_quality_mask,feature,src/pig_behavior/classification_v2/spatial_sequence_export.py,_view_quality_masks,1391-1430,tests/test_classification_v2_motion_time_contracts.py,test_invalid_geometry_is_zeroed_and_quality_masked,,IMPLEMENTED_AND_TESTED
feature.padding_mask,feature,src/pig_behavior/classification_v2/spatial_sequence_export.py,export_spatial_sequences,156-175,tests/test_classification_v2_spatial_sequence_export.py,,,IMPLEMENTED_AND_TESTED
feature.hidden_visibility_status,feature,src/pig_behavior/classification_v2/review/hidden_review_builder.py,apply_hidden_review_decisions,1162-1229,,,,MODEL_FORBIDDEN
feature.tracking_quality_flag,feature,src/pig_behavior/classification_v2/features/frame_local.py,build_frame_local_primitives,140-180,,,,UNKNOWN_REQUIRES_REVIEW
feature.tracking_quality_flag,feature,src/pig_behavior/classification_v2/contracts/candidate_manifest.py,build_candidate_artifact_manifest,1768-2108,,,,UNKNOWN_REQUIRES_REVIEW
feature.valid_acceleration_pair,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,,,,IMPLEMENTATION_DIFFERS_FROM_CONTRACT
feature.motion_feature_available,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase1_pair_contract.py,test_all_pairs_invalid_have_placeholder_and_unavailable_mask,,IMPLEMENTED_AND_TESTED
feature.velocity_valid,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_constant_horizontal_velocity_and_midpoint_time,,IMPLEMENTED_AND_TESTED
feature.bbox_rate_valid,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_bbox_rates_use_pair_delta_time,,IMPLEMENTED_AND_TESTED
feature.direction_valid,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_zero_speed_direction_is_unavailable_not_angle_zero,,IMPLEMENTED_AND_TESTED
feature.direction_change_valid,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_direction_wrap_uses_signed_shortest_angle,,IMPLEMENTED_AND_TESTED
feature.tangential_acceleration_valid,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_constant_horizontal_velocity_and_midpoint_time,,IMPLEMENTED_AND_TESTED
feature.vector_acceleration_valid,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_constant_speed_changing_direction_has_vector_acceleration,,IMPLEMENTED_AND_TESTED
feature.velocity_possible_count,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase2_motion_schema.py,test_derivative_coverage_uses_family_specific_denominators,,IMPLEMENTED_AND_TESTED
feature.velocity_valid_count,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase2_motion_schema.py,test_derivative_coverage_uses_family_specific_denominators,,IMPLEMENTED_AND_TESTED
feature.velocity_coverage,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase2_motion_schema.py,test_derivative_coverage_uses_family_specific_denominators,,IMPLEMENTED_AND_TESTED
feature.direction_change_possible_count,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase2_motion_schema.py,test_derivative_coverage_uses_family_specific_denominators,,IMPLEMENTED_AND_TESTED
feature.direction_change_valid_count,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase2_motion_schema.py,test_derivative_coverage_uses_family_specific_denominators,,IMPLEMENTED_AND_TESTED
feature.direction_change_coverage,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase2_motion_schema.py,test_derivative_coverage_uses_family_specific_denominators,,IMPLEMENTED_AND_TESTED
feature.acceleration_possible_count,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase2_motion_schema.py,test_derivative_coverage_uses_family_specific_denominators,,IMPLEMENTED_AND_TESTED
feature.acceleration_valid_count,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase2_motion_schema.py,test_derivative_coverage_uses_family_specific_denominators,,IMPLEMENTED_AND_TESTED
feature.acceleration_coverage,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_unit_aggregates,1585-2065,tests/test_classification_v2_phase2_motion_schema.py,test_derivative_coverage_uses_family_specific_denominators,,IMPLEMENTED_AND_TESTED
feature.ay_n_per_second2,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_constant_speed_changing_direction_has_vector_acceleration,,IMPLEMENTED_AND_TESTED
feature.acceleration_vector_magnitude_n_per_second2,feature,src/pig_behavior/classification_v2/features/spatiotemporal.py,_add_temporal_deltas,989-1317,tests/test_classification_v2_phase2_motion_schema.py,test_constant_speed_changing_direction_has_vector_acceleration,,IMPLEMENTED_AND_TESTED
invariant.canonical_identity_nonblank_unique,invariant,src/pig_behavior/classification_v2/merge_sources.py,merge_frame_object_sources,27-78,,,"blank_keys,duplicate_keys",IMPLEMENTED_AND_TESTED
