group_dimension,group_value,posture_label,machine_decision_value,support_count,usable_support_count,group_total
recording_date,301119,lying,lying,12,12,75
recording_date,301119,sitting,sitting,61,61,75
recording_date,301119,upright,upright,2,2,75
recording_date,301119,unresolved,unresolved,0,0,75
recording_date,301119,exclude,technical_exclude,0,0,75
source_video,Pigs281119_000085_30fps,lying,lying,8,8,25
source_video,Pigs281119_000085_30fps,sitting,sitting,17,17,25
source_video,Pigs281119_000085_30fps,upright,upright,0,0,25
source_video,Pigs281119_000085_30fps,unresolved,unresolved,0,0,25
source_video,Pigs281119_000085_30fps,exclude,technical_exclude,0,0,25
source_video,Pigs281119_000114_30fps,lying,lying,0,0,25
source_video,Pigs281119_000114_30fps,sitting,sitting,24,24,25
source_video,Pigs281119_000114_30fps,upright,upright,1,1,25
source_video,Pigs281119_000114_30fps,unresolved,unresolved,0,0,25
source_video,Pigs281119_000114_30fps,exclude,technical_exclude,0,0,25
source_video,Pigs291119_000225_30fps.mp4,lying,lying,2,2,2
source_video,Pigs291119_000225_30fps.mp4,sitting,sitting,0,0,2
source_video,Pigs291119_000225_30fps.mp4,upright,upright,0,0,2
source_video,Pigs291119_000225_30fps.mp4,unresolved,unresolved,0,0,2
source_video,Pigs291119_000225_30fps.mp4,exclude,technical_exclude,0,0,2
source_video,Pigs291119_000226_30fps,lying,lying,13,13,15
source_video,Pigs291119_000226_30fps,sitting,sitting,1,1,15
source_video,Pigs291119_000226_30fps,upright,upright,1,1,15
source_video,Pigs291119_000226_30fps,unresolved,unresolved,0,0,15
source_video,Pigs291119_000226_30fps,exclude,technical_exclude,0,0,15
source_video,Pigs291119_000231,lying,lying,10,10,11
source_video,Pigs291119_000231,sitting,sitting,1,1,11
source_video,Pigs291119_000231,upright,upright,0,0,11
source_video,Pigs291119_000231,unresolved,unresolved,0,0,11
source_video,Pigs291119_000231,exclude,technical_exclude,0,0,11
source_video,Pigs291119_000233,lying,lying,18,18,19
source_video,Pigs291119_000233,sitting,sitting,1,1,19
source_video,Pigs291119_000233,upright,upright,0,0,19
source_video,Pigs291119_000233,unresolved,unresolved,0,0,19
source_video,Pigs291119_000233,exclude,technical_exclude,0,0,19
source_video,Pigs301119_000330,lying,lying,3,3,3
source_video,Pigs301119_000330,sitting,sitting,0,0,3
source_video,Pigs301119_000330,upright,upright,0,0,3
source_video,Pigs301119_000330,unresolved,unresolved,0,0,3
source_video,Pigs301119_000330,exclude,technical_exclude,0,0,3
source_video,pigs031219/000068,lying,lying,0,0,1
source_video,pigs031219/000068,sitting,sitting,0,0,1
source_video,pigs031219/000068,upright,upright,1,1,1
source_video,pigs031219/000068,unresolved,unresolved,0,0,1
source_video,pigs031219/000068,exclude,technical_exclude,0,0,1
source_video,pigs031219/000069,lying,lying,0,0,2
source_video,pigs031219/000069,sitting,sitting,1,1,2
source_video,pigs031219/000069,upright,upright,1,1,2
source_video,pigs031219/000069,unresolved,unresolved,0,0,2
source_video,pigs031219/000069,exclude,technical_exclude,0,0,2
source_video,pigs031219/000071,lying,lying,0,0,1
source_video,pigs031219/000071,sitting,sitting,0,0,1
source_video,pigs031219/000071,upright,upright,1,1,1
source_video,pigs031219/000071,unresolved,unresolved,0,0,1
source_video,pigs031219/000071,exclude,technical_exclude,0,0,1
source_video,pigs031219/000072,lying,lying,0,0,1
source_video,pigs031219/000072,sitting,sitting,1,1,1
source_video,pigs031219/000072,upright,upright,0,0,1
source_video,pigs031219/000072,unresolved,unresolved,0,0,1
source_video,pigs031219/000072,exclude,technical_exclude,0,0,1
source_video,pigs031219/000073,lying,lying,0,0,1
source_video,pigs031219/000073,sitting,sitting,1,1,1
source_video,pigs031219/000073,upright,upright,0,0,1
source_video,pigs031219/000073,unresolved,unresolved,0,0,1
source_video,pigs031219/000073,exclude,technical_exclude,0,0,1
source_video,pigs031219/000074,lying,lying,0,0,1
source_video,pigs031219/000074,sitting,sitting,1,1,1
source_video,pigs031219/000074,upright,upright,0,0,1
source_video,pigs031219/000074,unresolved,unresolved,0,0,1
source_video,pigs031219/000074,exclude,technical_exclude,0,0,1
source_video,pigs031219/000082,lying,lying,0,0,2
source_video,pigs031219/000082,sitting,sitting,1,1,2
source_video,pigs031219/000082,upright,upright,1,1,2
source_video,pigs031219/000082,unresolved,unresolved,0,0,2
source_video,pigs031219/000082,exclude,technical_exclude,0,0,2
source_video,pigs031219/000085,lying,lying,0,0,3
source_video,pigs031219/000085,sitting,sitting,1,1,3
source_video,pigs031219/000085,upright,upright,2,2,3
source_video,pigs031219/000085,unresolved,unresolved,0,0,3
source_video,pigs031219/000085,exclude,technical_exclude,0,0,3
source_video,pigs031219/000086,lying,lying,2,2,2
source_video,pigs031219/000086,sitting,sitting,0,0,2
source_video,pigs031219/000086,upright,upright,0,0,2
source_video,pigs031219/000086,unresolved,unresolved,0,0,2
source_video,pigs031219/000086,exclude,technical_exclude,0,0,2
source_video,pigs031219/000090,lying,lying,0,0,1
source_video,pigs031219/000090,sitting,sitting,0,0,1
source_video,pigs031219/000090,upright,upright,1,1,1
source_video,pigs031219/000090,unresolved,unresolved,0,0,1
source_video,pigs031219/000090,exclude,technical_exclude,0,0,1
source_video,pigs031219/000091,lying,lying,1,1,1
source_video,pigs031219/000091,sitting,sitting,0,0,1
source_video,pigs031219/000091,upright,upright,0,0,1
source_video,pigs031219/000091,unresolved,unresolved,0,0,1
source_video,pigs031219/000091,exclude,technical_exclude,0,0,1
source_video,pigs031219/000095,lying,lying,1,1,1
source_video,pigs031219/000095,sitting,sitting,0,0,1
source_video,pigs031219/000095,upright,upright,0,0,1
source_video,pigs031219/000095,unresolved,unresolved,0,0,1
source_video,pigs031219/000095,exclude,technical_exclude,0,0,1
source_video,pigs031219/000096,lying,lying,0,0,1
source_video,pigs031219/000096,sitting,sitting,1,1,1
source_video,pigs031219/000096,upright,upright,0,0,1
source_video,pigs031219/000096,unresolved,unresolved,0,0,1
source_video,pigs031219/000096,exclude,technical_exclude,0,0,1
source_video,pigs031219/000099,lying,lying,0,0,2
source_video,pigs031219/000099,sitting,sitting,0,0,2
source_video,pigs031219/000099,upright,upright,2,2,2
source_video,pigs031219/000099,unresolved,unresolved,0,0,2
source_video,pigs031219/000099,exclude,technical_exclude,0,0,2
source_video,pigs031219/000101,lying,lying,0,0,1
source_video,pigs031219/000101,sitting,sitting,0,0,1
source_video,pigs031219/000101,upright,upright,1,1,1
source_video,pigs031219/000101,unresolved,unresolved,0,0,1
source_video,pigs031219/000101,exclude,technical_exclude,0,0,1
source_video,pigs031219/000103,lying,lying,0,0,1
source_video,pigs031219/000103,sitting,sitting,1,1,1
source_video,pigs031219/000103,upright,upright,0,0,1
source_video,pigs031219/000103,unresolved,unresolved,0,0,1
source_video,pigs031219/000103,exclude,technical_exclude,0,0,1
source_video,pigs031219/000111,lying,lying,0,0,1
source_video,pigs031219/000111,sitting,sitting,0,0,1
source_video,pigs031219/000111,upright,upright,1,1,1
source_video,pigs031219/000111,unresolved,unresolved,0,0,1
source_video,pigs031219/000111,exclude,technical_exclude,0,0,1
source_video,pigs031219/000117,lying,lying,1,1,1
source_video,pigs031219/000117,sitting,sitting,0,0,1
source_video,pigs031219/000117,upright,upright,0,0,1
source_video,pigs031219/000117,unresolved,unresolved,0,0,1
source_video,pigs031219/000117,exclude,technical_exclude,0,0,1
source_video,pigs031219/000119,lying,lying,0,0,1
source_video,pigs031219/000119,sitting,sitting,0,0,1
source_video,pigs031219/000119,upright,upright,1,1,1
source_video,pigs031219/000119,unresolved,unresolved,0,0,1
source_video,pigs031219/000119,exclude,technical_exclude,0,0,1
source_video,pigs031219/000121,lying,lying,0,0,1
source_video,pigs031219/000121,sitting,sitting,0,0,1
source_video,pigs031219/000121,upright,upright,1,1,1
source_video,pigs031219/000121,unresolved,unresolved,0,0,1
source_video,pigs031219/000121,exclude,technical_exclude,0,0,1
source_video,pigs031219/000123,lying,lying,1,1,1
source_video,pigs031219/000123,sitting,sitting,0,0,1
source_video,pigs031219/000123,upright,upright,0,0,1
source_video,pigs031219/000123,unresolved,unresolved,0,0,1
source_video,pigs031219/000123,exclude,technical_exclude,0,0,1
source_video,pigs031219/000124,lying,lying,1,1,2
source_video,pigs031219/000124,sitting,sitting,1,1,2
source_video,pigs031219/000124,upright,upright,0,0,2
source_video,pigs031219/000124,unresolved,unresolved,0,0,2
source_video,pigs031219/000124,exclude,technical_exclude,0,0,2
source_video,pigs031219/000125,lying,lying,2,2,3
source_video,pigs031219/000125,sitting,sitting,1,1,3
source_video,pigs031219/000125,upright,upright,0,0,3
source_video,pigs031219/000125,unresolved,unresolved,0,0,3
source_video,pigs031219/000125,exclude,technical_exclude,0,0,3
source_video,pigs031219/000130,lying,lying,0,0,2
source_video,pigs031219/000130,sitting,sitting,1,1,2
source_video,pigs031219/000130,upright,upright,1,1,2
source_video,pigs031219/000130,unresolved,unresolved,0,0,2
source_video,pigs031219/000130,exclude,technical_exclude,0,0,2
source_video,pigs031219/000133,lying,lying,0,0,1
source_video,pigs031219/000133,sitting,sitting,0,0,1
source_video,pigs031219/000133,upright,upright,1,1,1
source_video,pigs031219/000133,unresolved,unresolved,0,0,1
source_video,pigs031219/000133,exclude,technical_exclude,0,0,1
source_video,pigs031219/000137,lying,lying,1,1,2
source_video,pigs031219/000137,sitting,sitting,1,1,2
source_video,pigs031219/000137,upright,upright,0,0,2
source_video,pigs031219/000137,unresolved,unresolved,0,0,2
source_video,pigs031219/000137,exclude,technical_exclude,0,0,2
source_video,pigs031219/000140,lying,lying,1,1,2
source_video,pigs031219/000140,sitting,sitting,1,1,2
source_video,pigs031219/000140,upright,upright,0,0,2
source_video,pigs031219/000140,unresolved,unresolved,0,0,2
source_video,pigs031219/000140,exclude,technical_exclude,0,0,2
source_video,pigs031219/000141,lying,lying,0,0,1
source_video,pigs031219/000141,sitting,sitting,1,1,1
source_video,pigs031219/000141,upright,upright,0,0,1
source_video,pigs031219/000141,unresolved,unresolved,0,0,1
source_video,pigs031219/000141,exclude,technical_exclude,0,0,1
source_video,pigs031219/000142,lying,lying,0,0,1
source_video,pigs031219/000142,sitting,sitting,1,1,1
source_video,pigs031219/000142,upright,upright,0,0,1
source_video,pigs031219/000142,unresolved,unresolved,0,0,1
source_video,pigs031219/000142,exclude,technical_exclude,0,0,1
source_video,pigs031219/000146,lying,lying,1,1,1
source_video,pigs031219/000146,sitting,sitting,0,0,1
source_video,pigs031219/000146,upright,upright,0,0,1
source_video,pigs031219/000146,unresolved,unresolved,0,0,1
source_video,pigs031219/000146,exclude,technical_exclude,0,0,1
source_video,pigs031219/000147,lying,lying,2,2,3
source_video,pigs031219/000147,sitting,sitting,1,1,3
source_video,pigs031219/000147,upright,upright,0,0,3
source_video,pigs031219/000147,unresolved,unresolved,0,0,3
source_video,pigs031219/000147,exclude,technical_exclude,0,0,3
source_video,pigs031219/000149,lying,lying,1,1,1
source_video,pigs031219/000149,sitting,sitting,0,0,1
source_video,pigs031219/000149,upright,upright,0,0,1
source_video,pigs031219/000149,unresolved,unresolved,0,0,1
source_video,pigs031219/000149,exclude,technical_exclude,0,0,1
source_video,pigs031219/000150,lying,lying,1,1,1
source_video,pigs031219/000150,sitting,sitting,0,0,1
source_video,pigs031219/000150,upright,upright,0,0,1
source_video,pigs031219/000150,unresolved,unresolved,0,0,1
source_video,pigs031219/000150,exclude,technical_exclude,0,0,1
source_video,pigs031219/000151,lying,lying,1,1,1
source_video,pigs031219/000151,sitting,sitting,0,0,1
source_video,pigs031219/000151,upright,upright,0,0,1
source_video,pigs031219/000151,unresolved,unresolved,0,0,1
source_video,pigs031219/000151,exclude,technical_exclude,0,0,1
source_video,pigs031219/000154,lying,lying,0,0,1
source_video,pigs031219/000154,sitting,sitting,1,1,1
source_video,pigs031219/000154,upright,upright,0,0,1
source_video,pigs031219/000154,unresolved,unresolved,0,0,1
source_video,pigs031219/000154,exclude,technical_exclude,0,0,1
source_video,pigs031219/000156,lying,lying,0,0,2
source_video,pigs031219/000156,sitting,sitting,2,2,2
source_video,pigs031219/000156,upright,upright,0,0,2
source_video,pigs031219/000156,unresolved,unresolved,0,0,2
source_video,pigs031219/000156,exclude,technical_exclude,0,0,2
source_video,pigs031219/000160,lying,lying,0,0,1
source_video,pigs031219/000160,sitting,sitting,0,0,1
source_video,pigs031219/000160,upright,upright,1,1,1
source_video,pigs031219/000160,unresolved,unresolved,0,0,1
source_video,pigs031219/000160,exclude,technical_exclude,0,0,1
source_video,pigs031219/000161,lying,lying,2,2,2
source_video,pigs031219/000161,sitting,sitting,0,0,2
source_video,pigs031219/000161,upright,upright,0,0,2
source_video,pigs031219/000161,unresolved,unresolved,0,0,2
source_video,pigs031219/000161,exclude,technical_exclude,0,0,2
source_video,pigs031219/000162,lying,lying,2,2,2
source_video,pigs031219/000162,sitting,sitting,0,0,2
source_video,pigs031219/000162,upright,upright,0,0,2
source_video,pigs031219/000162,unresolved,unresolved,0,0,2
source_video,pigs031219/000162,exclude,technical_exclude,0,0,2
source_video,pigs031219/000167,lying,lying,1,1,1
source_video,pigs031219/000167,sitting,sitting,0,0,1
source_video,pigs031219/000167,upright,upright,0,0,1
source_video,pigs031219/000167,unresolved,unresolved,0,0,1
source_video,pigs031219/000167,exclude,technical_exclude,0,0,1
source_video,pigs031219/000174,lying,lying,1,1,1
source_video,pigs031219/000174,sitting,sitting,0,0,1
source_video,pigs031219/000174,upright,upright,0,0,1
source_video,pigs031219/000174,unresolved,unresolved,0,0,1
source_video,pigs031219/000174,exclude,technical_exclude,0,0,1
source_video,pigs041219/000179,lying,lying,0,0,1
source_video,pigs041219/000179,sitting,sitting,0,0,1
source_video,pigs041219/000179,upright,upright,1,1,1
source_video,pigs041219/000179,unresolved,unresolved,0,0,1
source_video,pigs041219/000179,exclude,technical_exclude,0,0,1
source_video,pigs041219/000182,lying,lying,0,0,1
source_video,pigs041219/000182,sitting,sitting,0,0,1
source_video,pigs041219/000182,upright,upright,1,1,1
source_video,pigs041219/000182,unresolved,unresolved,0,0,1
source_video,pigs041219/000182,exclude,technical_exclude,0,0,1
source_video,pigs041219/000187,lying,lying,0,0,1
source_video,pigs041219/000187,sitting,sitting,1,1,1
source_video,pigs041219/000187,upright,upright,0,0,1
source_video,pigs041219/000187,unresolved,unresolved,0,0,1
source_video,pigs041219/000187,exclude,technical_exclude,0,0,1
source_video,pigs041219/000190,lying,lying,1,1,1
source_video,pigs041219/000190,sitting,sitting,0,0,1
source_video,pigs041219/000190,upright,upright,0,0,1
source_video,pigs041219/000190,unresolved,unresolved,0,0,1
source_video,pigs041219/000190,exclude,technical_exclude,0,0,1
source_video,pigs041219/000191,lying,lying,0,0,1
source_video,pigs041219/000191,sitting,sitting,1,1,1
source_video,pigs041219/000191,upright,upright,0,0,1
source_video,pigs041219/000191,unresolved,unresolved,0,0,1
source_video,pigs041219/000191,exclude,technical_exclude,0,0,1
source_video,pigs041219/000192,lying,lying,0,0,1
source_video,pigs041219/000192,sitting,sitting,1,1,1
source_video,pigs041219/000192,upright,upright,0,0,1
source_video,pigs041219/000192,unresolved,unresolved,0,0,1
source_video,pigs041219/000192,exclude,technical_exclude,0,0,1
source_video,pigs041219/000193,lying,lying,1,1,1
source_video,pigs041219/000193,sitting,sitting,0,0,1
source_video,pigs041219/000193,upright,upright,0,0,1
source_video,pigs041219/000193,unresolved,unresolved,0,0,1
source_video,pigs041219/000193,exclude,technical_exclude,0,0,1
source_video,pigs041219/000194,lying,lying,2,2,2
source_video,pigs041219/000194,sitting,sitting,0,0,2
source_video,pigs041219/000194,upright,upright,0,0,2
source_video,pigs041219/000194,unresolved,unresolved,0,0,2
source_video,pigs041219/000194,exclude,technical_exclude,0,0,2
source_video,pigs041219/000196,lying,lying,0,0,1
source_video,pigs041219/000196,sitting,sitting,1,1,1
source_video,pigs041219/000196,upright,upright,0,0,1
source_video,pigs041219/000196,unresolved,unresolved,0,0,1
source_video,pigs041219/000196,exclude,technical_exclude,0,0,1
source_video,pigs041219/000198,lying,lying,0,0,1
source_video,pigs041219/000198,sitting,sitting,0,0,1
source_video,pigs041219/000198,upright,upright,1,1,1
source_video,pigs041219/000198,unresolved,unresolved,0,0,1
source_video,pigs041219/000198,exclude,technical_exclude,0,0,1
source_video,pigs041219/000200,lying,lying,1,1,1
source_video,pigs041219/000200,sitting,sitting,0,0,1
source_video,pigs041219/000200,upright,upright,0,0,1
source_video,pigs041219/000200,unresolved,unresolved,0,0,1
source_video,pigs041219/000200,exclude,technical_exclude,0,0,1
source_video,pigs041219/000201,lying,lying,0,0,1
source_video,pigs041219/000201,sitting,sitting,0,0,1
source_video,pigs041219/000201,upright,upright,1,1,1
source_video,pigs041219/000201,unresolved,unresolved,0,0,1
source_video,pigs041219/000201,exclude,technical_exclude,0,0,1
source_video,pigs041219/000202,lying,lying,0,0,1
source_video,pigs041219/000202,sitting,sitting,1,1,1
source_video,pigs041219/000202,upright,upright,0,0,1
source_video,pigs041219/000202,unresolved,unresolved,0,0,1
source_video,pigs041219/000202,exclude,technical_exclude,0,0,1
source_video,pigs041219/000203,lying,lying,0,0,1
source_video,pigs041219/000203,sitting,sitting,1,1,1
source_video,pigs041219/000203,upright,upright,0,0,1
source_video,pigs041219/000203,unresolved,unresolved,0,0,1
source_video,pigs041219/000203,exclude,technical_exclude,0,0,1
source_video,pigs041219/000206,lying,lying,0,0,1
source_video,pigs041219/000206,sitting,sitting,1,1,1
source_video,pigs041219/000206,upright,upright,0,0,1
source_video,pigs041219/000206,unresolved,unresolved,0,0,1
source_video,pigs041219/000206,exclude,technical_exclude,0,0,1
source_video,pigs041219/000211,lying,lying,0,0,1
source_video,pigs041219/000211,sitting,sitting,0,0,1
source_video,pigs041219/000211,upright,upright,1,1,1
source_video,pigs041219/000211,unresolved,unresolved,0,0,1
source_video,pigs041219/000211,exclude,technical_exclude,0,0,1
source_video,pigs041219/000218,lying,lying,2,2,2
source_video,pigs041219/000218,sitting,sitting,0,0,2
source_video,pigs041219/000218,upright,upright,0,0,2
source_video,pigs041219/000218,unresolved,unresolved,0,0,2
source_video,pigs041219/000218,exclude,technical_exclude,0,0,2
source_video,pigs041219/000219,lying,lying,1,1,1
source_video,pigs041219/000219,sitting,sitting,0,0,1
source_video,pigs041219/000219,upright,upright,0,0,1
source_video,pigs041219/000219,unresolved,unresolved,0,0,1
source_video,pigs041219/000219,exclude,technical_exclude,0,0,1
source_video,pigs041219/000221,lying,lying,0,0,1
source_video,pigs041219/000221,sitting,sitting,0,0,1
source_video,pigs041219/000221,upright,upright,1,1,1
source_video,pigs041219/000221,unresolved,unresolved,0,0,1
source_video,pigs041219/000221,exclude,technical_exclude,0,0,1
source_video,pigs041219/000224,lying,lying,0,0,1
source_video,pigs041219/000224,sitting,sitting,1,1,1
source_video,pigs041219/000224,upright,upright,0,0,1
source_video,pigs041219/000224,unresolved,unresolved,0,0,1
source_video,pigs041219/000224,exclude,technical_exclude,0,0,1
source_video,pigs041219/000225,lying,lying,0,0,1
source_video,pigs041219/000225,sitting,sitting,1,1,1
source_video,pigs041219/000225,upright,upright,0,0,1
source_video,pigs041219/000225,unresolved,unresolved,0,0,1
source_video,pigs041219/000225,exclude,technical_exclude,0,0,1
source_video,pigs041219/000226,lying,lying,0,0,2
source_video,pigs041219/000226,sitting,sitting,2,2,2
source_video,pigs041219/000226,upright,upright,0,0,2
source_video,pigs041219/000226,unresolved,unresolved,0,0,2
source_video,pigs041219/000226,exclude,technical_exclude,0,0,2
source_video,pigs041219/000228,lying,lying,1,1,1
source_video,pigs041219/000228,sitting,sitting,0,0,1
source_video,pigs041219/000228,upright,upright,0,0,1
source_video,pigs041219/000228,unresolved,unresolved,0,0,1
source_video,pigs041219/000228,exclude,technical_exclude,0,0,1
source_video,pigs041219/000229,lying,lying,1,1,2
source_video,pigs041219/000229,sitting,sitting,1,1,2
source_video,pigs041219/000229,upright,upright,0,0,2
source_video,pigs041219/000229,unresolved,unresolved,0,0,2
source_video,pigs041219/000229,exclude,technical_exclude,0,0,2
source_video,pigs041219/000230,lying,lying,0,0,1
source_video,pigs041219/000230,sitting,sitting,0,0,1
source_video,pigs041219/000230,upright,upright,1,1,1
source_video,pigs041219/000230,unresolved,unresolved,0,0,1
source_video,pigs041219/000230,exclude,technical_exclude,0,0,1
source_video,pigs041219/000231,lying,lying,1,1,1
source_video,pigs041219/000231,sitting,sitting,0,0,1
source_video,pigs041219/000231,upright,upright,0,0,1
source_video,pigs041219/000231,unresolved,unresolved,0,0,1
source_video,pigs041219/000231,exclude,technical_exclude,0,0,1
source_video,pigs041219/000233,lying,lying,0,0,1
source_video,pigs041219/000233,sitting,sitting,1,1,1
source_video,pigs041219/000233,upright,upright,0,0,1
source_video,pigs041219/000233,unresolved,unresolved,0,0,1
source_video,pigs041219/000233,exclude,technical_exclude,0,0,1
source_video,pigs041219/000235,lying,lying,0,0,1
source_video,pigs041219/000235,sitting,sitting,0,0,1
source_video,pigs041219/000235,upright,upright,1,1,1
source_video,pigs041219/000235,unresolved,unresolved,0,0,1
source_video,pigs041219/000235,exclude,technical_exclude,0,0,1
source_video,pigs041219/000236,lying,lying,1,1,1
source_video,pigs041219/000236,sitting,sitting,0,0,1
source_video,pigs041219/000236,upright,upright,0,0,1
source_video,pigs041219/000236,unresolved,unresolved,0,0,1
source_video,pigs041219/000236,exclude,technical_exclude,0,0,1
source_video,pigs041219/000237,lying,lying,0,0,1
source_video,pigs041219/000237,sitting,sitting,0,0,1
source_video,pigs041219/000237,upright,upright,1,1,1
source_video,pigs041219/000237,unresolved,unresolved,0,0,1
source_video,pigs041219/000237,exclude,technical_exclude,0,0,1
source_video,pigs041219/000238,lying,lying,1,1,1
source_video,pigs041219/000238,sitting,sitting,0,0,1
source_video,pigs041219/000238,upright,upright,0,0,1
source_video,pigs041219/000238,unresolved,unresolved,0,0,1
source_video,pigs041219/000238,exclude,technical_exclude,0,0,1
source_video,pigs041219/000247,lying,lying,1,1,1
source_video,pigs041219/000247,sitting,sitting,0,0,1
source_video,pigs041219/000247,upright,upright,0,0,1
source_video,pigs041219/000247,unresolved,unresolved,0,0,1
source_video,pigs041219/000247,exclude,technical_exclude,0,0,1
source_video,pigs041219/000251,lying,lying,2,2,2
source_video,pigs041219/000251,sitting,sitting,0,0,2
source_video,pigs041219/000251,upright,upright,0,0,2
source_video,pigs041219/000251,unresolved,unresolved,0,0,2
source_video,pigs041219/000251,exclude,technical_exclude,0,0,2
source_video,pigs041219/000252,lying,lying,0,0,1
source_video,pigs041219/000252,sitting,sitting,1,1,1
source_video,pigs041219/000252,upright,upright,0,0,1
source_video,pigs041219/000252,unresolved,unresolved,0,0,1
source_video,pigs041219/000252,exclude,technical_exclude,0,0,1
source_video,pigs041219/000257,lying,lying,1,1,1
source_video,pigs041219/000257,sitting,sitting,0,0,1
source_video,pigs041219/000257,upright,upright,0,0,1
source_video,pigs041219/000257,unresolved,unresolved,0,0,1
source_video,pigs041219/000257,exclude,technical_exclude,0,0,1
source_video,pigs041219/000260,lying,lying,1,1,1
source_video,pigs041219/000260,sitting,sitting,0,0,1
source_video,pigs041219/000260,upright,upright,0,0,1
source_video,pigs041219/000260,unresolved,unresolved,0,0,1
source_video,pigs041219/000260,exclude,technical_exclude,0,0,1
source_video,pigs041219/000262,lying,lying,2,2,2
source_video,pigs041219/000262,sitting,sitting,0,0,2
source_video,pigs041219/000262,upright,upright,0,0,2
source_video,pigs041219/000262,unresolved,unresolved,0,0,2
source_video,pigs041219/000262,exclude,technical_exclude,0,0,2
source_video,pigs041219/000270,lying,lying,1,1,1
source_video,pigs041219/000270,sitting,sitting,0,0,1
source_video,pigs041219/000270,upright,upright,0,0,1
source_video,pigs041219/000270,unresolved,unresolved,0,0,1
source_video,pigs041219/000270,exclude,technical_exclude,0,0,1
source_video,pigs041219/000271,lying,lying,2,2,2
source_video,pigs041219/000271,sitting,sitting,0,0,2
source_video,pigs041219/000271,upright,upright,0,0,2
source_video,pigs041219/000271,unresolved,unresolved,0,0,2
source_video,pigs041219/000271,exclude,technical_exclude,0,0,2
source_video,pigs041219/000272,lying,lying,1,1,1
source_video,pigs041219/000272,sitting,sitting,0,0,1
source_video,pigs041219/000272,upright,upright,0,0,1
source_video,pigs041219/000272,unresolved,unresolved,0,0,1
source_video,pigs041219/000272,exclude,technical_exclude,0,0,1
source_video,pigs041219/000273,lying,lying,1,1,1
source_video,pigs041219/000273,sitting,sitting,0,0,1
source_video,pigs041219/000273,upright,upright,0,0,1
