case_id,row_index,temporal_unit_key,object_track_key,frame_index,timestamp_sec,cx_n,cy_n,bw_n,bh_n,bbox_valid,valid_motion_pair,velocity_valid,bbox_rate_valid,velocity_sample_time_sec,vx_n_per_second,vy_n_per_second,bw_rate_n_per_second,bh_rate_n_per_second,area_rate_n_per_second,aspect_ratio_rate_per_second,speed_n_per_second,direction_valid,direction_change_valid,direction_change_rad,acceleration_delta_t_sec,tangential_acceleration_valid,tangential_acceleration_n_per_second2,vector_acceleration_valid,ax_n_per_second2,ay_n_per_second2,acceleration_vector_magnitude_n_per_second2
speed_decrease,0,unit-speed_decrease,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
speed_decrease,1,unit-speed_decrease,actor-a,1,1,2.0,0.0,0.2,0.1,True,True,True,True,0.5,2.0,0.0,0.0,0.0,0.0,0.0,2.0,True,False,,,False,,False,,,
speed_decrease,2,unit-speed_decrease,actor-a,2,2,3.0,0.0,0.2,0.1,True,True,True,True,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,1.0,True,-1.0,True,-1.0,0.0,1.0
direction_change,0,unit-direction_change,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
direction_change,1,unit-direction_change,actor-a,1,1,1.0,0.0,0.2,0.1,True,True,True,True,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True,False,,,False,,False,,,
direction_change,2,unit-direction_change,actor-a,2,2,1.0,1.0,0.2,0.1,True,True,True,True,1.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,True,True,1.5707963267948966,1.0,True,0.0,True,-1.0,1.0,1.4142135623730951
angle_wrap,0,unit-angle_wrap,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
angle_wrap,1,unit-angle_wrap,actor-a,1,1,-0.9998476951563913,0.01745240643728344,0.2,0.1,True,True,True,True,0.5,-0.9998476951563913,0.01745240643728344,0.0,0.0,0.0,0.0,1.0,True,False,,,False,,False,,,
angle_wrap,2,unit-angle_wrap,actor-a,2,2,-1.9996953903127825,0.0,0.2,0.1,True,True,True,True,1.5,-0.9998476951563913,-0.01745240643728344,0.0,0.0,0.0,0.0,1.0,True,True,0.034906585039886195,1.0,True,0.0,True,0.0,-0.03490481287456688,0.03490481287456688
zero_speed_direction,0,unit-zero_speed_direction,actor-a,0,0,0.5,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
zero_speed_direction,1,unit-zero_speed_direction,actor-a,1,1,0.5,0.0,0.2,0.1,True,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,False,,False,,,
invalid_middle_velocity,0,unit-invalid_middle_velocity,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
invalid_middle_velocity,1,unit-invalid_middle_velocity,actor-a,1,1,1.0,0.0,0.2,0.1,True,True,True,True,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True,False,,,False,,False,,,
invalid_middle_velocity,2,unit-invalid_middle_velocity,actor-a,2,2,2.0,0.0,0.2,0.1,False,False,False,False,,,,,,,,,False,False,,,False,,False,,,
invalid_middle_velocity,3,unit-invalid_middle_velocity,actor-a,3,3,3.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
cross_unit,0,unit-a,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
cross_unit,1,unit-a,actor-a,1,1,1.0,0.0,0.2,0.1,True,True,True,True,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True,False,,,False,,False,,,
cross_unit,2,unit-b,actor-a,2,2,2.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
actor_discontinuity,0,unit-actor_discontinuity,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
actor_discontinuity,1,unit-actor_discontinuity,actor-b,1,1,1.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
all_velocity_invalid,0,unit-all_velocity_invalid,actor-a,0,0,0.0,0.0,0.2,0.1,False,False,False,False,,,,,,,,,False,False,,,False,,False,,,
all_velocity_invalid,1,unit-all_velocity_invalid,actor-a,1,1,1.0,0.0,0.2,0.1,False,False,False,False,,,,,,,,,False,False,,,False,,False,,,
all_velocity_invalid,2,unit-all_velocity_invalid,actor-a,2,2,2.0,0.0,0.2,0.1,False,False,False,False,,,,,,,,,False,False,,,False,,False,,,
one_velocity_no_acceleration,0,unit-one_velocity_no_acceleration,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
one_velocity_no_acceleration,1,unit-one_velocity_no_acceleration,actor-a,1,1,1.0,0.0,0.2,0.1,True,True,True,True,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True,False,,,False,,False,,,
one_acceleration,0,unit-one_acceleration,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
one_acceleration,1,unit-one_acceleration,actor-a,1,1,1.0,0.0,0.2,0.1,True,True,True,True,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True,False,,,False,,False,,,
one_acceleration,2,unit-one_acceleration,actor-a,2,2,2.0,0.0,0.2,0.1,True,True,True,True,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,1.0,True,0.0,True,0.0,0.0,0.0
