path,delta_direction,original_classification,current_classification,explanation
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_review_identifier_0/legacy.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_review_identifier_0/legacy_decisions.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_review_identifier_0/manifest_v2.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_review_identifier_0/mapping.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_review_identifier_0/migration_audit.json,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_review_redesign_cl0/audit.json,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_review_redesign_cl0/carried.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_review_redesign_cl0/current.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_review_redesign_cl0/decisions.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_review_redesign_cl0/previous.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_legacy_source_emits_uniqu0/legacy_frame_object_annotations.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_publication_split_writes_0/protocol/publication_split_audit.json,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_publication_split_writes_0/protocol/recording_group_manifest.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_publication_split_writes_0/train_ready/split_manifest.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_publication_split_writes_0/windows.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_source_builders_persist_f0/classification_v2_build_enhanced_spatiotemporal_features.py.audit.json,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_source_builders_persist_f1/classification_v2_build_temporal_harmonization.py.audit.json,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_source_builders_persist_f2/classification_v2_build_sequence_windows.py.audit.json,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_upstream_tmp/test_identifier_lineage_checke0/bounded.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_upstream_tmp/test_parser_flag_cannot_claim_0/fixture.xml,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_upstream_tmp/test_reader_migrates_old_canon0/old_canonical.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_upstream_tmp/test_tracking_hidden_is_kept_w0/fixture.xml,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
