audit_item_id,video_id,frame_or_span,method_id,GT_identity,predicted_identity,GT_bbox,predicted_bbox,Hidden_status,matching_eligibility,error_category,episode_id,metric_contribution,selection_reason,visual_review_status,reviewer_comment
AUDIT-0011,Pigs291119_000233_30fps,1117,hybrid_bytetrack,ID_1,ID_8,"[221.02, 34.86, 555.83, 204.83]","[201.17, 54.83, 530.25, 287.87]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-5f49867d80c786bfbc82,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0012,Pigs291119_000233_30fps,1118,hybrid_bytetrack,ID_1,ID_8,"[222.15, 35.76, 554.81, 203.56]","[206.14, 61.59, 525.54, 286.79]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-5f49867d80c786bfbc82,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0013,Pigs291119_000233_30fps,1087,hybrid_bytetrack,ID_8,ID_1,"[193.74, 33.44, 546.04, 275.3]","[213.36, 34.46, 567.48, 203.32]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-359db36be17e406aaee8,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0014,Pigs291119_000233_30fps,1088,hybrid_bytetrack,ID_8,ID_1,"[197.06, 36.37, 545.86, 276.74]","[216.05, 36.02, 562.96, 201.28]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-359db36be17e406aaee8,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0015,Pigs291119_000233_30fps,1089,hybrid_bytetrack,ID_8,ID_1,"[196.21, 35.19, 546.49, 277.85]","[217.93, 37.82, 560.9, 201.38]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-359db36be17e406aaee8,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0016,Pigs291119_000233_30fps,1091,hybrid_bytetrack,ID_8,ID_1,"[188.95, 29.03, 543.87, 278.42]","[219.7, 38.78, 561.73, 202.59]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-d6084c4c435bfc60cdcd,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0017,Pigs291119_000233_30fps,1092,hybrid_bytetrack,ID_8,ID_1,"[191.62, 30.67, 541.0, 277.79]","[222.3, 38.98, 561.68, 201.33]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-d6084c4c435bfc60cdcd,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0018,Pigs291119_000233_30fps,1093,hybrid_bytetrack,ID_8,ID_1,"[199.15, 40.22, 536.25, 278.75]","[221.97, 39.34, 559.55, 200.44]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-d6084c4c435bfc60cdcd,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0019,Pigs291119_000233_30fps,1112,hybrid_bytetrack,ID_8,ID_1,"[213.2, 31.1, 515.45, 299.37]","[172.75, 74.75, 477.96, 277.86]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-848f5e01ca921e2acd41,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0020,Pigs291119_000233_30fps,1113,hybrid_bytetrack,ID_8,ID_1,"[210.2, 25.8, 524.44, 302.29]","[169.1, 71.81, 477.14, 272.94]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-848f5e01ca921e2acd41,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0021,Pigs291119_000233_30fps,1115,hybrid_bytetrack,ID_8,ID_1,"[214.9, 33.9, 521.15, 289.24]","[161.82, 65.93, 475.49, 263.09]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-91fbe5d325dfeaf58e2f,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES; STRATIFIED_RECOVERED_EPISODE_SAMPLE,NOT_REVIEWED,
AUDIT-0022,Pigs291119_000233_30fps,1116,hybrid_bytetrack,ID_8,ID_1,"[215.6, 32.5, 523.16, 291.47]","[158.18, 62.99, 474.67, 258.17]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-91fbe5d325dfeaf58e2f,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0023,Pigs291119_000233_30fps,1117,hybrid_bytetrack,ID_8,ID_1,"[213.1, 27.7, 524.34, 289.89]","[154.54, 60.05, 473.85, 253.25]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-91fbe5d325dfeaf58e2f,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0024,Pigs291119_000233_30fps,1118,hybrid_bytetrack,ID_8,ID_1,"[210.9, 37.9, 525.55, 286.71]","[150.9, 57.11, 473.02, 248.32]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-91fbe5d325dfeaf58e2f,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0025,Pigs281119_000085_30fps,63,realtime_fast,ID_3,ID_2,"[769.0, 273.93, 972.09, 463.5]","[769.83, 272.64, 970.98, 472.29]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,TERMINAL_IDENTITY_EPISODE,identity-episode-v2-9cf943633e349bdb8fe2,one wrong-ID animal-frame,ALL_REALTIME_FAST_TERMINAL_EPISODES,NOT_REVIEWED,
AUDIT-0026,Pigs281119_000085_30fps,64,realtime_fast,ID_4,ID_1,"[742.2, 298.84, 927.2, 385.98]","[740.72, 306.17, 930.92, 392.63]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,TERMINAL_IDENTITY_EPISODE,identity-episode-v2-e5fac907a9d0588a05e8,one wrong-ID animal-frame,ALL_REALTIME_FAST_TERMINAL_EPISODES,NOT_REVIEWED,
AUDIT-0027,Pigs291119_000216_30fps,171,realtime_fast,ID_1,ID_5,"[218.45, 409.4, 527.0, 709.48]","[203.36, 397.42, 524.89, 702.41]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,TERMINAL_IDENTITY_EPISODE,identity-episode-v2-ff218a47c310e622263c,one wrong-ID animal-frame,ALL_REALTIME_FAST_TERMINAL_EPISODES,NOT_REVIEWED,
AUDIT-0028,Pigs291119_000216_30fps,172,realtime_fast,ID_5,ID_1,"[185.36, 369.1, 458.1, 573.01]","[185.82, 373.48, 457.94, 544.11]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,TERMINAL_IDENTITY_EPISODE,identity-episode-v2-e056b067a170b5eea5e8,one wrong-ID animal-frame,ALL_REALTIME_FAST_TERMINAL_EPISODES,NOT_REVIEWED,
AUDIT-0029,Pigs291119_000231_30fps,719,realtime_fast,ID_1,ID_5,"[210.82, 28.62, 537.56, 269.82]","[216.17, 37.72, 535.57, 268.59]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,TERMINAL_IDENTITY_EPISODE,identity-episode-v2-eaa8bfc8a9ea3bedc9ec,one wrong-ID animal-frame,ALL_REALTIME_FAST_TERMINAL_EPISODES,NOT_REVIEWED,
AUDIT-0030,Pigs291119_000231_30fps,718,realtime_fast,ID_4,ID_6,"[165.39, 362.66, 354.75, 700.76]","[182.68, 353.17, 342.27, 704.73]",YES,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,TERMINAL_IDENTITY_EPISODE,identity-episode-v2-f13ce269e5a6db34b60f,one wrong-ID animal-frame,ALL_REALTIME_FAST_TERMINAL_EPISODES,NOT_REVIEWED,
AUDIT-0031,Pigs291119_000231_30fps,1368,realtime_fast,ID_6,ID_7,"[506.08, 274.6, 717.3, 600.04]","[510.83, 298.13, 699.99, 584.53]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,TERMINAL_IDENTITY_EPISODE,identity-episode-v2-b0d45f80b7d90325c77c,one wrong-ID animal-frame,ALL_REALTIME_FAST_TERMINAL_EPISODES,NOT_REVIEWED,
AUDIT-0032,Pigs291119_000231_30fps,1364,realtime_fast,ID_7,ID_6,"[638.87, 167.97, 839.61, 323.99]","[627.07, 155.87, 847.92, 313.36]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,TERMINAL_IDENTITY_EPISODE,identity-episode-v2-d9166b8eb1221d827ea7,one wrong-ID animal-frame,ALL_REALTIME_FAST_TERMINAL_EPISODES,NOT_REVIEWED,
AUDIT-0033,Pigs291119_000233_30fps,1096,realtime_fast,ID_1,ID_2,"[203.69, 58.44, 545.53, 257.74]","[233.59, 42.65, 557.38, 204.04]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,TERMINAL_IDENTITY_EPISODE,identity-episode-v2-4d3f374e0c6369e4364e,one wrong-ID animal-frame,ALL_REALTIME_FAST_TERMINAL_EPISODES,NOT_REVIEWED,
AUDIT-0034,Pigs291119_000233_30fps,931,realtime_fast,ID_2,ID_1,"[191.64, 62.06, 506.7, 326.9]","[209.7, 40.93, 477.58, 324.62]",YES,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,TERMINAL_IDENTITY_EPISODE,identity-episode-v2-bef8764a9534575b1c78,one wrong-ID animal-frame,ALL_REALTIME_FAST_TERMINAL_EPISODES,NOT_REVIEWED,
AUDIT-0035,Pigs301119_000327_30fps,1656,realtime_fast,ID_6,ID_7,"[983.46, 443.3, 1119.3, 574.34]","[986.21, 449.69, 1125.44, 569.91]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,TERMINAL_IDENTITY_EPISODE,identity-episode-v2-7b8a510979a0f4256bf7,one wrong-ID animal-frame,ALL_REALTIME_FAST_TERMINAL_EPISODES,NOT_REVIEWED,
AUDIT-0036,Pigs301119_000327_30fps,1653,realtime_fast,ID_7,ID_6,"[965.3, 381.77, 1120.7, 545.5]","[971.48, 398.42, 1118.69, 545.69]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,TERMINAL_IDENTITY_EPISODE,identity-episode-v2-28494e782042d528edb7,one wrong-ID animal-frame,ALL_REALTIME_FAST_TERMINAL_EPISODES,NOT_REVIEWED,
AUDIT-0037,Pigs281119_000085_30fps,58,bytetrack_raw,ID_3,ID_2,"[775.3, 273.93, 972.09, 464.6]","[771.82, 272.89, 968.76, 468.56]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-093a0fc76e2d2b731788,one wrong-ID animal-frame,LONGEST_BYTETRACK_RAW_WRONG_ID_EPISODE,NOT_REVIEWED,
AUDIT-0038,Pigs281119_000085_30fps,58,bytetrack_raw,ID_4,ID_1,"[768.1, 255.4, 963.1, 390.27]","[757.87, 253.89, 930.23, 390.08]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-45f6f1ced14af663d91b,one wrong-ID animal-frame,LONGEST_BYTETRACK_RAW_WRONG_ID_EPISODE,NOT_REVIEWED,
AUDIT-0039,Pigs301119_000327_30fps,142,bytetrack_raw,ID_1,ID_7,"[734.7, 232.0, 934.6, 455.8]","[723.16, 227.24, 928.8, 454.22]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-42d03edea04222bff88d,one wrong-ID animal-frame,LONGEST_BYTETRACK_RAW_WRONG_ID_EPISODE,NOT_REVIEWED,
AUDIT-0040,Pigs301119_000327_30fps,145,bytetrack_raw,ID_7,ID_1,"[708.41, 351.91, 876.8, 464.7]","[714.97, 349.51, 875.64, 466.77]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-3b0ea550e99919a89960,one wrong-ID animal-frame,LONGEST_BYTETRACK_RAW_WRONG_ID_EPISODE,NOT_REVIEWED,
AUDIT-0041,Pigs291119_000216_30fps,172,bytetrack_raw,ID_5,ID_1,"[185.36, 369.1, 458.1, 573.01]","[185.82, 373.48, 457.94, 544.11]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-f1571f699d19bd33b181,one wrong-ID animal-frame,LONGEST_BYTETRACK_RAW_WRONG_ID_EPISODE,NOT_REVIEWED,
AUDIT-0042,Pigs291119_000216_30fps,171,bytetrack_raw,ID_1,ID_5,"[218.45, 409.4, 527.0, 709.48]","[187.1, 402.12, 529.73, 704.43]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-4a28ed5ded442d54571a,one wrong-ID animal-frame,LONGEST_BYTETRACK_RAW_WRONG_ID_EPISODE,NOT_REVIEWED,
AUDIT-0043,Pigs281119_000114_30fps,224,bytetrack_raw,ID_2,ID_8,"[694.97, 388.06, 886.09, 584.05]","[729.1, 376.87, 881.11, 587.81]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-6adff12e27a309d0d9de,one wrong-ID animal-frame,LONGEST_BYTETRACK_RAW_WRONG_ID_EPISODE,NOT_REVIEWED,
AUDIT-0044,Pigs281119_000114_30fps,224,bytetrack_raw,ID_8,ID_2,"[773.19, 341.27, 933.1, 551.75]","[769.0, 333.32, 918.37, 555.53]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-6dee3071db32f9c94876,one wrong-ID animal-frame,LONGEST_BYTETRACK_RAW_WRONG_ID_EPISODE,NOT_REVIEWED,
AUDIT-0045,Pigs291119_000231_30fps,733,bytetrack_raw,ID_5,ID_4,"[190.94, 15.1, 479.0, 386.2]","[198.68, 15.25, 472.69, 386.27]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-d7727f83ab797341ced5,one wrong-ID animal-frame,STRATIFIED_RECOVERED_EPISODE_SAMPLE,NOT_REVIEWED,
AUDIT-0046,Pigs291119_000231_30fps,981,bytetrack_raw,ID_6,ID_3,"[509.21, 316.08, 689.5, 595.5]","[492.07, 336.47, 677.48, 591.89]",YES,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-e1e480cdb9cab78fad90,one wrong-ID animal-frame,STRATIFIED_RECOVERED_EPISODE_SAMPLE,NOT_REVIEWED,
AUDIT-0047,Pigs291119_000233_30fps,921,realtime_fast,ID_2,ID_8,"[214.49, 151.75, 557.3, 309.7]","[230.55, 154.44, 536.23, 310.71]",YES,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-cf5e3af9a4d1d1a92854,one wrong-ID animal-frame,STRATIFIED_RECOVERED_EPISODE_SAMPLE,NOT_REVIEWED,
AUDIT-0048,Pigs291119_000263_30fps,388,realtime_fast,ID_4,ID_7,"[965.42, 399.1, 1128.1, 513.74]","[954.72, 401.72, 1130.51, 508.46]",YES,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-41023ea5a5f0749baa3a,one wrong-ID animal-frame,STRATIFIED_RECOVERED_EPISODE_SAMPLE,NOT_REVIEWED,
AUDIT-0049,Pigs291119_000231_30fps,948,rf_hybrid,ID_2,ID_6,"[916.72, 357.0, 1115.4, 447.4]","[920.0, 363.45, 1092.68, 431.69]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-bf9946e4f161603b59a1,one wrong-ID animal-frame,STRATIFIED_RECOVERED_EPISODE_SAMPLE,NOT_REVIEWED,
AUDIT-0050,Pigs291119_000263_30fps,409,rf_hybrid,ID_4,ID_7,"[970.82, 396.49, 1126.81, 506.46]","[951.45, 415.27, 1119.09, 527.76]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-fd1eaf2a5a181ed4104a,one wrong-ID animal-frame,STRATIFIED_RECOVERED_EPISODE_SAMPLE,NOT_REVIEWED,
AUDIT-0051,Pigs281119_000085_30fps,58-1799,bytetrack_raw,"('ID_3', 'ID_4')",RECIPROCAL_PAIRWISE_SWAP,EPISODE_LEVEL,EPISODE_LEVEL,MIXED_OR_UNKNOWN,AUTHORITATIVE_PAIRWISE_EVENT,PERSISTENT_PAIRWISE_SWAP,pairwise-swap-v2-0a3bf2bc6f9edd21697e,one persistent pairwise swap event,ALL_PERSISTENT_SWAPS_EVERY_ACTIVE_METHOD,NOT_REVIEWED,
AUDIT-0052,Pigs281119_000114_30fps,224-969,bytetrack_raw,"('ID_2', 'ID_8')",RECIPROCAL_PAIRWISE_SWAP,EPISODE_LEVEL,EPISODE_LEVEL,MIXED_OR_UNKNOWN,AUTHORITATIVE_PAIRWISE_EVENT,PERSISTENT_PAIRWISE_SWAP,pairwise-swap-v2-0a165164010bff237ea2,one persistent pairwise swap event,ALL_PERSISTENT_SWAPS_EVERY_ACTIVE_METHOD,NOT_REVIEWED,
AUDIT-0053,Pigs291119_000216_30fps,172-1075,bytetrack_raw,"('ID_1', 'ID_5')",RECIPROCAL_PAIRWISE_SWAP,EPISODE_LEVEL,EPISODE_LEVEL,MIXED_OR_UNKNOWN,AUTHORITATIVE_PAIRWISE_EVENT,PERSISTENT_PAIRWISE_SWAP,pairwise-swap-v2-2600ef5e9e77927348c6,one persistent pairwise swap event,ALL_PERSISTENT_SWAPS_EVERY_ACTIVE_METHOD,NOT_REVIEWED,
AUDIT-0054,Pigs291119_000216_30fps,1098-1799,bytetrack_raw,"('ID_1', 'ID_5')",RECIPROCAL_PAIRWISE_SWAP,EPISODE_LEVEL,EPISODE_LEVEL,MIXED_OR_UNKNOWN,AUTHORITATIVE_PAIRWISE_EVENT,PERSISTENT_PAIRWISE_SWAP,pairwise-swap-v2-a1deeadce1e253129412,one persistent pairwise swap event,ALL_PERSISTENT_SWAPS_EVERY_ACTIVE_METHOD,NOT_REVIEWED,
AUDIT-0055,Pigs291119_000263_30fps,387-1799,bytetrack_raw,"('ID_4', 'ID_6')",RECIPROCAL_PAIRWISE_SWAP,EPISODE_LEVEL,EPISODE_LEVEL,MIXED_OR_UNKNOWN,AUTHORITATIVE_PAIRWISE_EVENT,PERSISTENT_PAIRWISE_SWAP,pairwise-swap-v2-397469bb365707c85797,one persistent pairwise swap event,ALL_PERSISTENT_SWAPS_EVERY_ACTIVE_METHOD,NOT_REVIEWED,
AUDIT-0056,Pigs291119_000302_30fps,559-1799,bytetrack_raw,"('ID_4', 'ID_8')",RECIPROCAL_PAIRWISE_SWAP,EPISODE_LEVEL,EPISODE_LEVEL,MIXED_OR_UNKNOWN,AUTHORITATIVE_PAIRWISE_EVENT,PERSISTENT_PAIRWISE_SWAP,pairwise-swap-v2-e6b0bfe2b068b3f92278,one persistent pairwise swap event,ALL_PERSISTENT_SWAPS_EVERY_ACTIVE_METHOD,NOT_REVIEWED,
AUDIT-0057,Pigs301119_000327_30fps,145-1799,bytetrack_raw,"('ID_1', 'ID_7')",RECIPROCAL_PAIRWISE_SWAP,EPISODE_LEVEL,EPISODE_LEVEL,MIXED_OR_UNKNOWN,AUTHORITATIVE_PAIRWISE_EVENT,PERSISTENT_PAIRWISE_SWAP,pairwise-swap-v2-061bad1b6a8e8e23f065,one persistent pairwise swap event,ALL_PERSISTENT_SWAPS_EVERY_ACTIVE_METHOD,NOT_REVIEWED,
AUDIT-0058,Pigs301119_000328_30fps,1360-1437,bytetrack_raw,"('ID_5', 'ID_7')",RECIPROCAL_PAIRWISE_SWAP,EPISODE_LEVEL,EPISODE_LEVEL,MIXED_OR_UNKNOWN,AUTHORITATIVE_PAIRWISE_EVENT,PERSISTENT_PAIRWISE_SWAP,pairwise-swap-v2-58d819375a5a259d39f0,one persistent pairwise swap event,ALL_PERSISTENT_SWAPS_EVERY_ACTIVE_METHOD,NOT_REVIEWED,
